# segment file written by condition_segs: version 05/07/22
# some SrTiO3 data from http://mimp.materials.cmu.edu/~gr20/Grain_Boundary_Data_Archive/SrTiO3_1/SrT
# comment: Some SrTiO3 data from the Grain_Boundary_Data_Archive                                               
#   phi1     PHI      phi2     phi1     PHI      phi2        x1         y1         x2         y2 
    3.228    0.182    3.385    4.621    0.777    2.239      4.650      2.510      5.700      0.690
    4.971    0.440    1.961    4.034    0.884    2.049      4.650      8.400      4.800      7.970
    4.034    0.884    2.049    4.870    0.575    1.979      4.650      8.400      5.250      9.440
    4.310    0.727    2.574    4.938    0.491    2.097      4.650     12.380      4.800     13.340
    4.938    0.491    2.097    4.622    0.363    2.244      4.650     12.380      5.250     11.860
    4.452    0.410    2.532    3.661    0.837    2.029      4.650     20.870      5.550     18.790
    3.661    0.837    2.029    0.024    0.510    0.769      4.650     20.870      6.300     22.520
    3.228    0.182    3.385    0.887    0.827    4.979      4.800      5.020      5.400      6.410
    4.034    0.884    2.049    2.069    0.404    3.873      4.800      7.970      4.950      7.880
    4.938    0.491    2.097    4.974    0.599    1.115      4.800     13.340      5.700     14.200
    0.910    0.945    5.812    4.002    0.276    1.677      4.800     41.920      4.950     41.480
    5.330    0.781    0.677    2.069    0.404    3.873      4.950      6.670      4.950      7.880
    5.330    0.781    0.677    0.887    0.827    4.979      4.950      6.670      5.400      6.410
    5.330    0.781    0.677    4.034    0.884    2.049      4.950      7.880      5.700      7.970
    4.452    0.410    2.532    1.621    0.056    4.615      4.950     17.580      5.550     18.790
    1.621    0.056    4.615    0.884    0.904    5.846      4.950     17.580      5.550     16.710
    1.054    0.546    5.960    0.565    0.801    6.080      4.950     38.020      5.100     37.590
    0.565    0.801    6.080    1.949    0.823    3.705      4.950     38.020      5.100     38.110
    1.422    0.615    5.544    1.054    0.546    5.960      5.100     37.590      4.650     36.810
    1.422    0.615    5.544    1.054    0.546    5.960      4.650     36.810      6.300     34.990
    0.565    0.801    6.080    1.422    0.615    5.544      5.100     37.590      5.250     38.020
    0.311    0.707    5.531    4.034    0.884    2.049      5.250      9.440      5.400      9.530
    4.938    0.491    2.097    0.311    0.707    5.531      5.250     11.860      5.550     11.860
    4.974    0.599    1.115    0.507    0.597    6.206      5.250     15.160      5.700     14.720
    0.507    0.597    6.206    5.609    0.579    1.449      5.250     15.160      5.700     15.760
    5.996    0.560    0.363    2.850    0.796    3.403      5.250     29.190      6.300     29.790
    5.330    0.781    0.677    3.228    0.182    3.385      5.400      6.410      6.300      7.450
    5.330    0.781    0.677    3.228    0.182    3.385      6.300      7.450      5.700      7.970
    2.962    0.759    2.975    2.850    0.796    3.403      5.400     30.830      6.300     29.790
    0.910    0.945    5.812    0.970    0.742    5.891      5.400     39.660      5.400     40.180
    0.970    0.742    5.891    1.949    0.823    3.705      5.400     39.660      5.550     39.580
    4.938    0.491    2.097    0.291    0.495    5.261      5.550     11.860      7.650     12.380
    0.291    0.495    5.261    0.311    0.707    5.531      5.550     11.860      6.600     10.220
    0.884    0.904    5.846    6.019    0.298    0.495      5.550     16.020      5.550     16.710
    6.019    0.298    0.495    5.609    0.579    1.449      5.550     16.020      5.700     15.760
    6.019    0.298    0.495    1.621    0.056    4.615      5.550     16.710      7.050     16.190
    1.621    0.056    4.615    3.661    0.837    2.029      5.550     18.790      8.100     18.530
    1.949    0.823    3.705    1.422    0.615    5.544      5.550     38.360      5.850     39.060
    5.501    0.365    0.972    4.621    0.777    2.239      5.700      0.690      4.350      0.090
    3.228    0.182    3.385    5.501    0.365    0.972      5.700      0.690      6.600      0.350
    4.034    0.884    2.049    3.228    0.182    3.385      5.700      7.970      6.600      8.490
    4.034    0.884    2.049    3.228    0.182    3.385      6.600      8.490      6.450      9.960
    4.034    0.884    2.049    0.311    0.707    5.531      5.700      9.700      6.450      9.960
    4.974    0.599    1.115    0.507    0.597    6.206      5.700     14.200      5.700     14.380
    0.507    0.597    6.206    4.938    0.491    2.097      5.700     14.200      7.050     13.940
    6.019    0.298    0.495    0.507    0.597    6.206      5.700     15.760      7.050     16.020
    1.949    0.823    3.705    2.717    0.763    4.206      5.700     39.320      5.850     39.060
    0.970    0.742    5.891    4.516    0.550    1.980      5.700     39.660      5.700     39.840
    5.265    0.382    1.775    4.059    0.658    2.280      5.700     41.740      5.700     41.920
    1.422    0.615    5.544    2.717    0.763    4.206      5.850     39.060      6.150     39.400
    4.516    0.550    1.980    2.440    0.888    4.202      5.850     40.100      6.150     40.100
    1.422    0.615    5.544    4.516    0.550    1.980      6.150     39.580      6.300     39.660
    4.059    0.658    2.280    2.440    0.888    4.202      6.150     40.440      6.300     40.180
    4.059    0.658    2.280    2.149    0.647    4.169      6.150     42.180      6.300     42.260
    3.053    0.578    3.227    2.149    0.647    4.169      6.150     42.520      6.300     42.260
    5.996    0.560    0.363    3.661    0.837    2.029      6.300     22.520      9.750     21.910
    2.962    0.759    2.975    5.996    0.560    0.363      6.300     29.790      9.300     29.790
    1.422    0.615    5.544    2.962    0.759    2.975      6.300     34.990      9.300     34.640
    3.053    0.578    3.227    4.059    0.658    2.280      6.300     42.260      8.250     42.180
    3.228    0.182    3.385    0.311    0.707    5.531      6.450      9.960      6.600     10.220
    5.501    0.365    0.972    1.691    0.684    4.180      6.600      0.350      6.750      0.090
    1.691    0.684    4.180    3.228    0.182    3.385      6.600      0.350      8.550      1.470
    3.228    0.182    3.385    0.291    0.495    5.261      6.600     10.220      8.100     12.120
    4.059    0.658    2.280    1.422    0.615    5.544      6.600     39.660      8.700     40.360
    0.507    0.597    6.206    6.038    0.791    0.257      7.050     13.940      7.350     15.160
    6.038    0.791    0.257    4.938    0.491    2.097      7.050     13.940      7.650     12.380
    6.019    0.298    0.495    3.687    0.431    3.252      7.050     16.020      7.050     16.190
    3.687    0.431    3.252    0.507    0.597    6.206      7.050     16.020      7.350     15.160
    1.621    0.056    4.615    3.687    0.431    3.252      7.050     16.190      7.350     16.710
    6.038    0.791    0.257    3.687    0.431    3.252      7.350     15.160      8.100     15.930
    3.687    0.431    3.252    6.080    0.145    0.390      7.350     16.710      8.100     15.930
    6.080    0.145    0.390    1.621    0.056    4.615      7.350     16.710      8.100     18.530
    6.038    0.791    0.257    0.291    0.495    5.261      7.650     12.380      8.100     12.120
    6.038    0.791    0.257    3.228    0.182    3.385      8.100     12.120      9.300     11.600
    6.038    0.791    0.257    6.080    0.145    0.390      8.100     15.930      9.150     17.580
    6.080    0.145    0.390    3.661    0.837    2.029      8.100     18.530      9.000     18.010
    3.228    0.182    3.385    5.642    0.656    0.152      8.550      1.470      7.950      3.200
    3.228    0.182    3.385    5.642    0.656    0.152      7.950      3.200      8.700      4.500
    5.642    0.656    0.152    1.691    0.684    4.180      8.550      1.470      9.000      1.390
    2.869    0.491    3.992    4.059    0.658    2.280      8.550     42.000      8.700     41.400
    5.642    0.656    0.152    2.800    0.607    3.656      8.700      4.500      9.750      4.590
    2.800    0.607    3.656    3.228    0.182    3.385      8.700      4.500      8.850      7.360
    2.800    0.607    3.656    3.228    0.182    3.385      8.850      7.360      9.750      7.710
