# segment file written by condition_segs: version 05/07/22
# some SrTiO3 data from http://mimp.materials.cmu.edu/~gr20/Grain_Boundary_Data_Archive/SrTiO3_1/SrT
# comment: Some SrTiO3 data from the Grain_Boundary_Data_Archive                                               
#   phi1     PHI      phi2     phi1     PHI      phi2        x1         y1         x2         y2 
    4.937    0.491    2.097    6.036    0.793    0.256      7.350     14.640      7.800     13.680
    6.036    0.793    0.256    0.501    0.597    6.214      7.350     14.640      7.650     16.190
    3.663    0.838    2.029    6.069    0.142    0.405      7.500     19.920      8.550     19.830
    6.036    0.793    0.256    6.069    0.142    0.405      7.650     16.190      9.300     18.530
    6.036    0.793    0.256    3.229    0.185    3.384      7.950     13.420     10.500     13.680
    4.347    0.403    1.259    4.057    0.651    2.277      7.950     43.040      8.700     42.260
    1.439    0.626    5.262    3.229    0.185    3.384      8.400      4.330      9.000      2.770
    3.229    0.185    3.384    5.636    0.657    0.161      8.400      4.330      8.700      5.890
    5.636    0.657    0.161    1.439    0.626    5.262      8.400      4.330     10.050      4.070
    3.229    0.185    3.384    1.426    0.390    4.584      8.550      1.990      9.000      2.420
    1.426    0.390    4.584    1.689    0.685    4.178      8.550      1.990      8.700      0.170
    6.069    0.142    0.405    3.715    0.862    2.431      8.550     19.830      9.300     18.530
    3.715    0.862    2.431    3.663    0.838    2.029      8.550     19.830      9.450     21.220
    3.229    0.185    3.384    2.810    0.604    3.648      8.700      5.890      9.150      7.880
    3.229    0.185    3.384    2.810    0.604    3.648      9.150      7.880      9.900      7.970
    2.810    0.604    3.648    5.636    0.657    0.161      8.700      5.890      9.000      5.890
    4.347    0.403    1.259    1.073    0.571    5.287      8.850     42.180      9.450     43.040
    2.810    0.604    3.648    5.825    0.396    1.087      9.000      5.890     10.050      7.880
    5.825    0.396    1.087    5.636    0.657    0.161      9.000      5.890     10.500      4.500
    3.663    0.838    2.029    3.331    0.189    2.260      9.000     22.690      9.450     21.220
    3.331    0.189    2.260    5.994    0.561    0.364      9.000     22.690     10.350     23.300
    1.422    0.615    5.544    2.432    0.602    3.932      9.000     40.880     10.950     38.360
    1.925    0.506    5.098    1.426    0.390    4.584      9.150      2.510     10.800      1.910
    1.925    0.506    5.098    1.439    0.626    5.262      9.150      2.680     10.200      3.810
    6.036    0.793    0.256    3.715    0.862    2.431      9.300     18.530     12.000     18.530
    1.422    0.615    5.544    3.273    0.591    3.039      9.300     35.510     10.950     37.330
